"","alpha","beta_day","beta_dairy","beta_winter","beta_day_winter","beta_dairy_winter","phi_alpha","phi_dairy","phi_winter","phi_dairy_winter","sigma_region","sigma_square","b_region.1","b_region.2","b_region.3","b_square.1.1","b_square.2.1","b_square.3.1","b_square.1.2","b_square.2.2","b_square.3.2","b_square.1.3","b_square.2.3","b_square.3.3","b_square.1.4","b_square.2.4","b_square.3.4","b_square.1.5","b_square.2.5","b_square.3.5","b_square.1.6","b_square.2.6","b_square.3.6","b_square.1.7","b_square.2.7","b_square.3.7","b_square.1.8","b_square.2.8","b_square.3.8","b_square.1.9","b_square.2.9","b_square.3.9","b_square.1.10","b_square.2.10","b_square.3.10"
"945",-1.32132245977595,-0.00533852579295856,0.246328129602958,0.598717012021609,0.0082944826162314,0.395676463215858,0.655355747512546,-0.234981511048043,-1.44959295629099,0.876065301710261,1.54880112551413,0.0135236412746048,-1.33442567625359,-1.64956152659288,-2.10713581477325,-0.00832693466718365,0.00756544254008304,0.0211609636061291,-0.0129524625395812,0.02056353902429,-0.0304355885607857,0.0054589100376912,-0.0309502177417227,0.0060075288081039,-0.00906159512689273,0.0228269077707692,0.00314723244105658,-0.00636345278054024,0.0278973429166834,-0.00546705918983934,0.0181983028340734,0.0137041893383343,0.0165799837334078,0.0110329539952697,0.0178758293564613,-0.0142557196500055,0.00285780466017232,-0.00465655643455755,-0.00187734204906468,-0.0131033567271345,-0.0283416873667694,-0.0220650004735199,0.0118641954086691,-0.00276114200657799,-0.00564783004719153
"946",-0.736290476055638,0.00293059965601099,0.166025509802565,0.89331414985429,-0.00200790953716931,0.212775220714283,0.848721247715988,-0.133269370426671,-1.37953616331748,0.986228821747532,5.90334898041124,0.118114395704108,-1.59132593319773,-1.67771027970362,-2.59117615519273,-0.181659276330606,-0.00434118569156336,0.0102371939894831,0.132141964848129,-0.00136603069167894,-0.0130663165692678,0.00166099988351416,0.0365716623538208,-0.124438168670072,0.19598433290954,-0.154066233477659,0.120146014141453,0.0271703722359141,0.0610427585421572,-0.0579365107254061,0.184938944702369,0.0908892069461613,0.144710409675114,0.0389059302485344,0.0595835796754846,-0.16623612251046,-0.103952972461392,0.12780038734693,0.170824315450924,0.0853244305226353,-0.0296482431266362,0.0248665721568701,-0.236936552513267,-0.0475666237587892,-0.0139719022956515
"947",-1.37181398368113,-0.000000898568709312896,0.21306428808777,0.943483162348442,-0.00107766695959242,0.378765402725286,1.05282901605544,0.516071787200016,-1.71653891426654,0.477919044001952,0.349274249433402,0.242409260413391,-1.42454236588,-1.62267920661735,-2.25959573503022,0.0398498737834688,-0.0693414346139982,-0.42849180691026,-0.582390706655162,-0.0499345720011019,-0.0364017340360543,0.177523912659227,0.312618981287043,0.151467076097725,0.130744987391793,-0.0774097727040212,0.00362480487194071,-0.262064614531629,0.0645311981183249,0.6882252348987,0.13320273802118,0.57148264301302,-0.060057411691795,0.226253255800378,0.0190789726578357,-0.275450030481088,-0.0749961510774178,-0.0990002046718285,-0.324025389141342,-0.134839434986556,0.0196261624966929,-0.21367317018307,-0.302232307528816,-0.0143036676575408,0.233840393607823
"948",-4.24331953517425,-0.000845085343402515,0.384660907422246,0.721371551969413,0.00144826471288904,0.136155573196819,0.950623099444754,0.122876376846811,-1.64564854860419,0.836557602418893,3.91526467568594,0.117018393273089,-1.51957228029958,-1.80685131466986,-2.33113918939653,-0.160988993731362,0.0716738922534165,0.0877668034552646,-0.00637414621143182,-0.0336839692680855,-0.101840635410861,0.183933855569059,0.111950735661657,-0.0118974901702591,0.0836095784755349,0.216884461013175,0.103494619250556,0.168677787365733,-0.102506930516831,-0.0440125070096622,0.141724846267087,-0.0344536540984946,0.100343901706461,0.0179750284019528,0.0450088713046698,0.207896173257095,0.0663382288282154,-0.0399205166740929,-0.2157046866056,-0.0268081693330228,0.037844120950608,-0.0948619947762532,0.15567032988301,-0.0271860778415495,-0.0282493593172832
"949",-6.9789832705631,0.000513218050015706,0.199800343531196,0.939212539569716,-0.000894040225181391,0.0289892508401664,0.982833769781609,-0.525789836505123,-1.75241021846841,1.71025466164495,7.61449539002016,0.0514347717239734,-1.54143996179286,-1.50931246107073,-2.52460417472252,0.000344853421838232,-0.00221977872960977,0.0343648742401918,-0.0126880900170667,0.110889541926547,0.0271722525736504,0.00126631599216137,-0.00533257934251644,0.0290038825121231,0.00871154766752983,-0.104468585779275,0.0240555444520643,-0.00611385969628548,0.0800887250641195,0.103203619037074,0.0751404852450174,0.0988686316829001,0.102532534902746,0.0149274967040929,0.0158833204111476,-0.0209708410742985,-0.0792650473218817,0.0535759393332824,-0.050698487512747,-0.0252982324114454,-0.0748711549426784,0.0474904480839181,0.0199173484095632,-0.128289354520871,-0.0276081186724256
"950",-1.94593017121794,0.0034363495760938,0.173267020131527,0.927681812451622,-0.00170530757746657,0.611014931869256,0.29869764363778,0.844197817213911,-1.10743147414024,0.179982551256795,0.571751282862905,0.0482037059196738,-1.78075727959275,-1.65913629981077,-2.60890522233078,0.00996428430000406,0.0599920121777416,0.0198510645413154,-0.0476987096188599,0.0565595413440305,0.0263662003728393,0.027304179752226,-0.0221554291035639,0.0148834872733067,-0.0211987705812137,0.0835438419473813,-0.0652818926063743,-0.0117436160219224,0.108221539862361,-0.00440614608525763,-0.064928051749964,-0.00630853089402971,0.0875857230729582,0.0290645774397986,0.0354203849588892,0.0424063336099112,0.00288094515888877,-0.0128806960266163,0.0355359147471461,0.00440831004087378,-0.00247891677498333,0.0789899783081695,0.074133593292231,-0.0317509824781939,0.0122559291928028
"951",-1.64193387801089,0.000783587471003099,0.238679453618434,1.13305865832648,-0.00483387843496364,-0.0427872978137496,0.909169673010367,0.0387449665713227,-1.55978901353647,0.480648836678265,0.4258278396474,0.0907540387661843,-1.53386655831117,-1.67280930503023,-2.41999511775633,0.0813936447812832,0.00742703838827591,0.0715719204459123,0.112662909426297,0.0450316807977752,-0.0577619510705424,0.0533953124768056,-0.0747423346965009,0.118084737432784,0.0888402947496221,-0.215627631088574,-0.0745388237367215,0.13981664976213,0.0443985834419875,0.0821456994478824,0.0675737006594796,0.0650105855178755,0.0927911353848842,0.0119000188591697,-0.0541868303189569,0.186304385080233,0.033763204720841,0.0196872059822021,-0.196890234086052,-0.0261078639591923,0.0520069346396055,0.0664088247192522,-0.100201910581196,0.0309340035069291,0.191780568000958
"952",-1.81968549005003,-0.00730148884436174,0.248007197102527,0.803775090940882,0.0110131505455013,-0.0679967919679467,0.592906950363332,0.607855801490684,-1.10617666259989,0.191607342330912,0.357657893539807,0.0412419548470086,-1.36824950654947,-1.49137784351267,-2.25415076207697,-0.00999310371795783,-0.0702536169290351,-0.0558537232536343,0.0346654548154524,-0.0237064184571365,0.0207824224160973,-0.0315891403323105,0.00179982846099409,-0.0587181594379147,0.0290282956956895,-0.053658425170451,-0.0509661886056947,-0.0255748639625087,-0.00396891478854973,-0.0257168270841313,0.0722477839775102,0.000740064457073862,0.0337467884618972,-0.0327840651798373,0.0247404497227975,-0.050072657658098,0.00435888163098508,-0.025815050132833,-0.055615781155803,-0.0267908473993545,-0.0241659629625034,0.00908710586563077,-0.0864326468957517,-0.05943776080686,0.00600026886090708
"953",-2.74967417772275,-0.00459329788067561,0.276644439006263,0.880931239042087,0.0145226871473735,-0.401021486378436,0.785170215403518,-0.171413005766047,-1.48022988963813,1.13694858465003,1.36707224019615,0.183981300709446,-1.38862521237718,-1.66964055288718,-2.41624663300742,-0.104725755959996,0.0589062935789892,-0.368177556545453,-0.0526362920488195,-0.0787483698724495,0.186116852803222,-0.179368581823443,0.0895114660064627,-0.357689135001037,-0.13732435316235,0.145488019888294,0.0150989279580425,-0.111570960356134,0.251238124153771,0.0892857911120192,0.188912325490006,0.207699573288288,-0.228218920231455,0.0701274737666489,0.239569171443225,-0.12062859039094,0.0743598214501048,0.196802739751949,-0.145618981551019,0.34846021071576,0.150067318545657,-0.0464817589688373,-0.128427019014666,0.113514691489018,0.254810564176732
"954",-1.86775004216415,-0.0012876858182483,0.13360652018472,0.905103404503242,0.00211963262352881,0.325948586609527,0.756732200257234,0.849115823721299,-1.61361370542087,0.26438173788246,0.296425643321534,0.00872768027534584,-1.38777423700516,-1.7190139480578,-2.19856065606855,0.00399168472451965,0.000254665522681816,-0.00691353689574632,0.0252906740068055,-0.00530054534848468,0.00869956289491277,-0.0165111680219781,-0.00306124059167652,-0.00385261854934169,0.0107006591463236,-0.0156338095031449,0.00625801275652344,-0.00132511272098627,0.00121958732272454,-0.00129850191779905,-0.0132579459264165,0.012009700791844,-0.0088413745501698,0.0117298229175889,0.00380790237342969,-0.0149346396083755,-0.00560087718182455,-0.000042515863474089,-0.00154385219468679,0.000896533390386314,-0.0056335392666979,-0.0136017327021351,-0.0132592377822454,0.00317034518411966,0.00108224506457853
